fips,jail_pop,urbanicity,year
01001,161.0,2.0,2011
01003,743.36,2.0,2011
01005,105.0,1.0,2011
01007,67.5,3.0,2011
01009,127.5,3.0,2011
01011,32.57,1.0,2011
01013,67.29,1.0,2011
01015,504.25,2.0,2011
01017,144.25,1.0,2011
01019,113.0,1.0,2011
01021,215.0,3.0,2011
01023,27.75,1.0,2011
01025,106.0,1.0,2011
01027,96.71,1.0,2011
01029,73.57,1.0,2011
01031,131.0,1.0,2011
01033,109.04,2.0,2011
01035,54.5,1.0,2011
01037,69.75,1.0,2011
01039,190.43,1.0,2011
01041,42.0,1.0,2011
01043,312.43,1.0,2011
01045,61.71,1.0,2011
01047,182.14,1.0,2011
01049,204.54,1.0,2011
01051,322.14,2.0,2011
01053,192.75,1.0,2011
01055,768.57,2.0,2011
01057,71.0,1.0,2011
01059,76.57,1.0,2011
01061,67.86,2.0,2011
01063,10.5,1.0,2011
01065,56.0,2.0,2011
01067,47.0,2.0,2011
01069,419.0,2.0,2011
01071,202.57,1.0,2011
01073,1532.75,4.0,2011
01075,62.0,1.0,2011
01077,287.57,2.0,2011
01079,104.5,2.0,2011
01081,446.0,2.0,2011
01083,218.57,2.0,2011
01085,62.86,2.0,2011
01087,18.0,1.0,2011
01089,956.0,2.0,2011
01091,62.71,1.0,2011
01093,93.57,1.0,2011
01095,322.71,1.0,2011
01097,1516.07,2.0,2011
01099,61.0,1.0,2011
01101,813.14,2.0,2011
01103,508.18,2.0,2011
01105,20.86,1.0,2011
01107,167.75,2.0,2011
01109,82.86,1.0,2011
01111,80.0,1.0,2011
01113,323.0,2.0,2011
01115,211.75,3.0,2011
01117,408.11,3.0,2011
01119,29.86,1.0,2011
01121,262.0,1.0,2011
01123,172.0,1.0,2011
01125,628.0,2.0,2011
01127,226.71,3.0,2011
01129,54.89,1.0,2011
01131,52.0,1.0,2011
01133,82.86,1.0,2011
02013,3.29,1.0,2011
02016,,1.0,2011
02020,,2.0,2011
02050,4.43,1.0,2011
02060,6.86,1.0,2011
02068,,1.0,2011
02070,1.71,1.0,2011
02090,,2.0,2011
02100,4.71,1.0,2011
02105,,1.0,2011
02110,15.0,1.0,2011
02122,16.43,1.0,2011
02130,,1.0,2011
02150,,1.0,2011
02158,,,2011
02164,7.71,1.0,2011
02170,3.29,2.0,2011
02180,2.14,1.0,2011
02185,,1.0,2011
02188,,1.0,2011
02195,5.43,1.0,2011
02198,,1.0,2011
02220,7.0,1.0,2011
02230,,1.0,2011
02240,,1.0,2011
02261,,1.0,2011
02270,,1.0,2011
02275,,1.0,2011
02282,,1.0,2011
02290,,1.0,2011
04001,92.0,1.0,2011
04003,214.57,2.0,2011
04005,501.0,2.0,2011
04007,118.0,1.0,2011
04009,109.86,1.0,2011
04011,28.57,1.0,2011
04012,157.14,1.0,2011
04013,7315.09,4.0,2011
04015,418.0,2.0,2011
04017,293.57,1.0,2011
04019,1640.0,2.0,2011
04021,1176.0,3.0,2011
04023,97.0,1.0,2011
04025,540.43,2.0,2011
04027,589.0,2.0,2011
05001,85.0,1.0,2011
05003,100.29,1.0,2011
05005,82.86,1.0,2011
05007,404.57,2.0,2011
05009,77.0,1.0,2011
05011,15.0,1.0,2011
05013,20.57,1.0,2011
05015,58.29,1.0,2011
05017,9.57,1.0,2011
05019,48.71,1.0,2011
05021,63.43,1.0,2011
05023,70.0,1.0,2011
05025,3.43,2.0,2011
05027,70.57,1.0,2011
05029,51.43,1.0,2011
05031,324.5,2.0,2011
05033,81.14,2.0,2011
05035,270.56,3.0,2011
05037,53.71,1.0,2011
05039,108.86,1.0,2011
05041,24.86,1.0,2011
05043,26.29,1.0,2011
05045,194.0,2.0,2011
05047,33.57,1.0,2011
05049,10.29,1.0,2011
05051,200.0,2.0,2011
05053,77.86,2.0,2011
05055,148.0,1.0,2011
05057,93.0,1.0,2011
05059,9.0,1.0,2011
05061,45.86,1.0,2011
05063,87.0,1.0,2011
05065,37.57,1.0,2011
05067,57.43,1.0,2011
05069,220.0,2.0,2011
05071,84.0,1.0,2011
05073,23.86,1.0,2011
05075,23.0,1.0,2011
05077,13.43,1.0,2011
05079,20.0,2.0,2011
05081,22.71,2.0,2011
05083,27.0,1.0,2011
05085,111.57,2.0,2011
05087,8.86,2.0,2011
05089,4.43,1.0,2011
05091,230.0,2.0,2011
05093,168.29,1.0,2011
05095,35.0,1.0,2011
05097,7.43,1.0,2011
05099,12.0,1.0,2011
05101,1.0,1.0,2011
05103,100.71,1.0,2011
05105,32.0,2.0,2011
05107,60.0,1.0,2011
05109,25.71,1.0,2011
05111,81.29,2.0,2011
05113,37.71,1.0,2011
05115,156.29,1.0,2011
05117,18.0,1.0,2011
05119,1031.0,2.0,2011
05121,30.86,1.0,2011
05123,73.57,1.0,2011
05125,140.14,2.0,2011
05127,149.57,1.0,2011
05129,11.71,1.0,2011
05131,313.0,2.0,2011
05133,35.29,1.0,2011
05135,32.86,1.0,2011
05137,21.43,1.0,2011
05139,184.0,1.0,2011
05141,47.0,1.0,2011
05143,539.14,2.0,2011
05145,206.43,1.0,2011
05147,17.14,1.0,2011
05149,20.0,1.0,2011
06001,3966.5,4.0,2011
06003,,1.0,2011
06005,91.43,1.0,2011
06007,548.0,2.0,2011
06009,64.0,1.0,2011
06011,64.14,1.0,2011
06013,1559.0,3.0,2011
06015,98.57,1.0,2011
06017,329.29,3.0,2011
06019,1754.0,2.0,2011
06021,117.86,1.0,2011
06023,380.0,1.0,2011
06025,568.0,2.0,2011
06027,72.0,1.0,2011
06029,2356.0,2.0,2011
06031,331.0,2.0,2011
06033,228.0,1.0,2011
06035,115.71,1.0,2011
06037,15912.88,4.0,2011
06039,421.14,2.0,2011
06041,295.0,3.0,2011
06043,40.0,1.0,2011
06045,233.0,1.0,2011
06047,670.0,2.0,2011
06049,27.86,1.0,2011
06051,37.71,1.0,2011
06053,1051.0,2.0,2011
06055,263.0,2.0,2011
06057,212.86,1.0,2011
06059,5827.0,4.0,2011
06061,535.0,3.0,2011
06063,45.29,1.0,2011
06065,3149.0,4.0,2011
06067,3907.0,4.0,2011
06069,113.14,3.0,2011
06071,5637.0,3.0,2011
06073,4476.0,4.0,2011
06075,1712.0,4.0,2011
06077,1183.0,2.0,2011
06079,558.0,2.0,2011
06081,1005.0,3.0,2011
06083,922.0,2.0,2011
06085,3667.0,4.0,2011
06087,466.0,2.0,2011
06089,231.0,2.0,2011
06091,6.14,1.0,2011
06093,90.0,1.0,2011
06095,763.0,2.0,2011
06097,926.0,2.0,2011
