FIPS,State,County,Year,Unemployment_rate
1000,AL,Alabama,2000,4.6
1001,AL,"Autauga County, AL",2000,4.1
1003,AL,"Baldwin County, AL",2000,3.7
1005,AL,"Barbour County, AL",2000,5.6
1007,AL,"Bibb County, AL",2000,5.4
1009,AL,"Blount County, AL",2000,3.5
1011,AL,"Bullock County, AL",2000,8.5
1013,AL,"Butler County, AL",2000,7.9
1015,AL,"Calhoun County, AL",2000,5.1
1017,AL,"Chambers County, AL",2000,4.4
1019,AL,"Cherokee County, AL",2000,4.5
1021,AL,"Chilton County, AL",2000,4.3
1023,AL,"Choctaw County, AL",2000,6.6
1025,AL,"Clarke County, AL",2000,7.4
1027,AL,"Clay County, AL",2000,6.2
1029,AL,"Cleburne County, AL",2000,4.1
1031,AL,"Coffee County, AL",2000,5.9
1033,AL,"Colbert County, AL",2000,5.6
1035,AL,"Conecuh County, AL",2000,6.6
1037,AL,"Coosa County, AL",2000,5.5
1039,AL,"Covington County, AL",2000,7.0
1041,AL,"Crenshaw County, AL",2000,5.8
1043,AL,"Cullman County, AL",2000,4.2
1045,AL,"Dale County, AL",2000,5.3
1047,AL,"Dallas County, AL",2000,8.1
1049,AL,"DeKalb County, AL",2000,4.1
1051,AL,"Elmore County, AL",2000,4.0
1053,AL,"Escambia County, AL",2000,5.3
1055,AL,"Etowah County, AL",2000,5.9
1057,AL,"Fayette County, AL",2000,5.9
1059,AL,"Franklin County, AL",2000,6.6
1061,AL,"Geneva County, AL",2000,5.1
1063,AL,"Greene County, AL",2000,6.9
1065,AL,"Hale County, AL",2000,6.1
1067,AL,"Henry County, AL",2000,5.0
1069,AL,"Houston County, AL",2000,4.4
1071,AL,"Jackson County, AL",2000,5.2
1073,AL,"Jefferson County, AL",2000,4.0
1075,AL,"Lamar County, AL",2000,7.0
1077,AL,"Lauderdale County, AL",2000,5.0
1079,AL,"Lawrence County, AL",2000,5.0
1081,AL,"Lee County, AL",2000,4.0
1083,AL,"Limestone County, AL",2000,3.8
1085,AL,"Lowndes County, AL",2000,7.0
1087,AL,"Macon County, AL",2000,5.8
1089,AL,"Madison County, AL",2000,3.6
1091,AL,"Marengo County, AL",2000,5.3
1093,AL,"Marion County, AL",2000,6.7
1095,AL,"Marshall County, AL",2000,4.8
1097,AL,"Mobile County, AL",2000,5.0
1099,AL,"Monroe County, AL",2000,6.5
1101,AL,"Montgomery County, AL",2000,4.2
1103,AL,"Morgan County, AL",2000,4.3
1105,AL,"Perry County, AL",2000,9.3
1107,AL,"Pickens County, AL",2000,7.6
1109,AL,"Pike County, AL",2000,5.6
1111,AL,"Randolph County, AL",2000,4.9
1113,AL,"Russell County, AL",2000,4.7
1115,AL,"St. Clair County, AL",2000,3.8
1117,AL,"Shelby County, AL",2000,2.8
1119,AL,"Sumter County, AL",2000,9.2
1121,AL,"Talladega County, AL",2000,5.2
1123,AL,"Tallapoosa County, AL",2000,4.9
1125,AL,"Tuscaloosa County, AL",2000,4.0
1127,AL,"Walker County, AL",2000,5.9
1129,AL,"Washington County, AL",2000,6.9
1131,AL,"Wilcox County, AL",2000,8.8
1133,AL,"Winston County, AL",2000,7.9
2000,AK,Alaska,2000,6.3
2013,AK,"Aleutians East Borough, AK",2000,8.7
2016,AK,"Aleutians West Census Area, AK",2000,5.1
2020,AK,"Anchorage Borough/municipality, AK",2000,5.0
2050,AK,"Bethel Census Area, AK",2000,8.9
2060,AK,"Bristol Bay Borough, AK",2000,6.4
2068,AK,"Denali Borough, AK",2000,7.2
2070,AK,"Dillingham Census Area, AK",2000,7.3
2090,AK,"Fairbanks North Star Borough, AK",2000,6.1
