Year,FIPS,County,State,Region,Division,Overdose_Deaths,od_pop,Overdose_Rate_per_100k
2010,1001,"Autauga County, AL",Alabama,South,East South Central,,,
2010,1003,"Baldwin County, AL",Alabama,South,East South Central,26.0,182265.0,14.264943900364855
2010,1005,"Barbour County, AL",Alabama,South,East South Central,,,
2010,1007,"Bibb County, AL",Alabama,South,East South Central,,,
2010,1009,"Blount County, AL",Alabama,South,East South Central,10.0,57322.0,17.44530895642162
2010,1011,"Bullock County, AL",Alabama,South,East South Central,,,
2010,1013,"Butler County, AL",Alabama,South,East South Central,,,
2010,1015,"Calhoun County, AL",Alabama,South,East South Central,21.0,118572.0,17.710758020443276
2010,1017,"Chambers County, AL",Alabama,South,East South Central,,,
2010,1019,"Cherokee County, AL",Alabama,South,East South Central,,,
2010,1021,"Chilton County, AL",Alabama,South,East South Central,11.0,43643.0,25.204500148935683
2010,1023,"Choctaw County, AL",Alabama,South,East South Central,,,
2010,1025,"Clarke County, AL",Alabama,South,East South Central,,,
2010,1027,"Clay County, AL",Alabama,South,East South Central,,,
2010,1029,"Cleburne County, AL",Alabama,South,East South Central,,,
2010,1031,"Coffee County, AL",Alabama,South,East South Central,,,
2010,1033,"Colbert County, AL",Alabama,South,East South Central,,,
2010,1035,"Conecuh County, AL",Alabama,South,East South Central,,,
2010,1037,"Coosa County, AL",Alabama,South,East South Central,,,
2010,1039,"Covington County, AL",Alabama,South,East South Central,,,
2010,1041,"Crenshaw County, AL",Alabama,South,East South Central,,,
2010,1043,"Cullman County, AL",Alabama,South,East South Central,,,
2010,1045,"Dale County, AL",Alabama,South,East South Central,,,
2010,1047,"Dallas County, AL",Alabama,South,East South Central,,,
2010,1049,"De Kalb County, AL",Alabama,South,East South Central,,,
2010,1051,"Elmore County, AL",Alabama,South,East South Central,,,
2010,1053,"Escambia County, AL",Alabama,South,East South Central,10.0,38319.0,26.09671442365406
2010,1055,"Etowah County, AL",Alabama,South,East South Central,12.0,104430.0,11.490950876185003
2010,1057,"Fayette County, AL",Alabama,South,East South Central,,,
2010,1059,"Franklin County, AL",Alabama,South,East South Central,,,
2010,1061,"Geneva County, AL",Alabama,South,East South Central,,,
2010,1063,"Greene County, AL",Alabama,South,East South Central,,,
2010,1065,"Hale County, AL",Alabama,South,East South Central,,,
2010,1067,"Henry County, AL",Alabama,South,East South Central,,,
2010,1069,"Houston County, AL",Alabama,South,East South Central,13.0,101547.0,12.801953775099214
2010,1071,"Jackson County, AL",Alabama,South,East South Central,,,
2010,1073,"Jefferson County, AL",Alabama,South,East South Central,60.0,658466.0,9.112087791928513
