,Year,fipscounty,spatmax,spatmean
0,2011,1001,,
1,2011,1003,42.00026250164064,21.66711933692581
2,2011,1005,,
3,2011,1007,13.640772775038398,12.565339524525013
4,2011,1009,55.50471790102159,23.30598085381381
5,2011,1011,,
6,2011,1013,,
7,2011,1015,21.32751960946942,17.854348761907563
8,2011,1017,20.65993742990378,20.65993742990378
9,2011,1019,15.626790569752783,14.326094977065946
10,2011,1021,13.640772775038398,13.640772775038398
11,2011,1023,,
12,2011,1025,12.85367695496393,12.85367695496393
13,2011,1027,,
14,2011,1029,22.49030667782186,17.187579716492703
15,2011,1031,,
16,2011,1033,12.93368254276199,12.93368254276199
17,2011,1035,42.00026250164064,42.00026250164064
18,2011,1037,13.640772775038398,13.640772775038398
19,2011,1039,42.00026250164064,26.995269738519386
20,2011,1041,,
21,2011,1043,55.50471790102159,34.42163775137447
22,2011,1045,12.699156971348748,12.699156971348748
23,2011,1047,,
24,2011,1049,17.4297002091564,15.905439061751053
25,2011,1051,,
26,2011,1053,16.222810569485542,13.108417022111482
27,2011,1055,21.32751960946942,16.20797701121157
28,2011,1057,55.50471790102159,33.330141122904834
29,2011,1059,,
30,2011,1061,12.699156971348748,12.699156971348748
31,2011,1063,11.15556434478807,11.15556434478807
32,2011,1065,11.15556434478807,11.15556434478807
33,2011,1067,12.699156971348748,12.699156971348748
34,2011,1069,,
35,2011,1071,15.41155866900175,12.116104199030396
36,2011,1073,55.50471790102159,25.40714365757937
37,2011,1075,,
38,2011,1077,38.64883667001623,25.18134532255629
39,2011,1079,13.338557601727343,12.60072537751736
40,2011,1081,10.818775211610092,10.818775211610092
41,2011,1083,13.338557601727343,11.697629957849458
42,2011,1085,,
43,2011,1087,,
44,2011,1089,13.338557601727343,12.526205788411847
45,2011,1091,,
46,2011,1093,55.50471790102159,55.50471790102159
47,2011,1095,15.41155866900175,12.87375026092352
48,2011,1097,21.44373521275759,17.14870608386076
49,2011,1099,42.00026250164064,27.426969728302286
50,2011,1101,,
51,2011,1103,12.41680739048376,10.983770364879717
52,2011,1105,,
53,2011,1107,11.15556434478807,11.15556434478807
54,2011,1109,,
55,2011,1111,22.49030667782186,21.57512205386282
56,2011,1113,10.818775211610092,10.818775211610092
57,2011,1115,14.381177914345704,13.201621224574055
58,2011,1117,21.32751960946942,17.113600531608995
59,2011,1119,,
60,2011,1121,21.32751960946942,15.617715046557121
61,2011,1123,,
62,2011,1125,55.50471790102159,34.20219967738508
63,2011,1127,12.899681453748572,12.1573510630068
64,2011,1129,12.85367695496393,12.2439344377512
65,2011,1131,,
66,2011,1133,55.50471790102159,33.96076264575267
67,2011,2013,,
68,2011,2016,,
69,2011,2020,20.6643029604333,20.6643029604333
70,2011,2050,20.6643029604333,20.6643029604333
71,2011,2060,,
72,2011,2068,20.6643029604333,15.372880571272379
73,2011,2070,,
74,2011,2090,,
75,2011,2100,,
76,2011,2105,,
77,2011,2110,,
78,2011,2122,20.6643029604333,19.12871405422619
79,2011,2130,,
80,2011,2150,,
81,2011,2164,,
82,2011,2170,17.59312514801908,17.59312514801908
83,2011,2180,,
84,2011,2185,,
85,2011,2188,,
86,2011,2195,,
87,2011,2198,,
88,2011,2220,,
89,2011,2230,,
90,2011,2240,20.6643029604333,15.372880571272379
91,2011,2261,20.6643029604333,19.12871405422619
92,2011,2270,,
93,2011,2275,,
94,2011,2282,,
95,2011,2290,20.6643029604333,15.372880571272379
96,2011,4001,16.380655226209047,16.104813916387638
97,2011,4003,19.50344038667339,19.50344038667339
98,2011,4005,28.16887487583456,23.947582224808922
99,2011,4007,27.844899192025977,17.535335951864926
100,2011,4009,19.50344038667339,15.606967871484548
101,2011,4011,,
102,2011,4012,28.16887487583456,16.189777363966595
103,2011,4013,27.844899192025977,17.571755466541298
104,2011,4015,27.844899192025977,17.509172284261105
105,2011,4017,16.355539695638274,16.355539695638274
106,2011,4019,16.15877764388013,13.032486643781985
107,2011,4021,19.50344038667339,17.83110901527676
108,2011,4023,19.50344038667339,19.50344038667339
109,2011,4025,28.16887487583456,20.227730738450987
110,2011,4027,19.50344038667339,16.217461679639353
111,2011,5001,,
112,2011,5003,,
113,2011,5005,,
114,2011,5007,9.155699905069849,9.155699905069849
115,2011,5009,,
116,2011,5011,,
117,2011,5013,,
118,2011,5015,12.304663467454166,12.304663467454166
119,2011,5017,,
120,2011,5019,,
