"","Year","County","FIPS","Deathrate","Population","Poverty"
"1",1999,"Abbeville County, SC",45001,1,25921,3257
"2",1999,"Acadia Parish, LA",22001,7,58762,12461
"3",1999,"Accomack County, VA",51001,5,37614,6107
"4",1999,"Ada County, ID",16001,7,294292,24964
"5",1999,"Adair County, IA",19001,1,8298,697
"6",1999,"Adair County, KY",21001,5,17054,3656
"7",1999,"Adair County, MO",29001,3,24961,3284
"8",1999,"Adair County, OK",40001,3,20904,4385
"9",1999,"Adams County, CO",8001,9,354146,32040
"10",1999,"Adams County, IA",19003,1,4498,510
"11",1999,"Adams County, ID",16003,1,3517,534
"12",1999,"Adams County, IL",17001,3,68430,7413
"13",1999,"Adams County, IN",18001,3,33544,2962
"14",1999,"Adams County, MS",28001,3,34591,7911
"15",1999,"Adams County, ND",38001,1,2648,316
"16",1999,"Adams County, NE",31001,1,31106,2805
"17",1999,"Adams County, OH",39001,9,27422,5052
"18",1999,"Adams County, PA",42001,5,90363,5881
"19",1999,"Adams County, WA",53001,1,16239,2680
"20",1999,"Adams County, WI",55001,5,18462,2142
"21",1999,"Addison County, VT",50001,5,35687,3019
"22",1999,"Aiken County, SC",45003,5,141379,17452
"23",1999,"Aitkin County, MN",27001,5,15062,1779
"24",1999,"Alachua County, FL",12001,5,215847,31993
"25",1999,"Alamance County, NC",37001,5,128743,12588
"26",1999,"Alameda County, CA",6001,7,1427114,142281
"27",1999,"Alamosa County, CO",8003,9,14881,2768
"28",1999,"Albany County, NY",36001,3,294692,29342
"29",1999,"Albany County, WY",56001,5,32192,3960
"30",1999,"Albemarle County, VA",51003,3,78631,5345
"31",1999,"Alcona County, MI",26001,5,11641,1457
"32",1999,"Alcorn County, MS",28003,7,34320,5457
"33",1999,"Aleutians East Borough, AK",2013,1,2739,240
"34",1999,"Aleutians West Census Area, AK",2016,3,5396,290
"35",1999,"Alexander County, IL",17003,1,9621,2125
"36",1999,"Alexander County, NC",37003,7,33274,3342
"37",1999,"Alexandria city, VA",51510,3,125668,10116
"38",1999,"Alfalfa County, OK",40003,3,6125,702
"39",1999,"Alger County, MI",26003,3,9945,908
"40",1999,"Allamakee County, IA",19005,1,14651,1324
"41",1999,"Allegan County, MI",26005,5,104476,7682
"42",1999,"Allegany County, MD",24001,7,75288,9270
"43",1999,"Allegany County, NY",36003,1,49997,7270
"44",1999,"Alleghany County, NC",37005,5,10567,1475
"45",1999,"Alleghany County, VA",51005,3,12861,1114
"46",1999,"Allegheny County, PA",42003,9,1287247,125788
"47",1999,"Allen County, IN",18003,5,328699,27444
"48",1999,"Allen County, KS",20001,5,14444,2097
