"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	11	137555	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	34	662845	5.13
	"1999"	"1999"	"Alabama"	"01"	"Madison County, AL"	"01089"	10	274693	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Mobile County, AL"	"01097"	28	399323	7.01
	"1999"	"1999"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	21	259348	8.10
	"1999"	"1999"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	10	116530	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Coconino County, AZ"	"04005"	10	115307	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	288	3004985	9.58
	"1999"	"1999"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	12	96100	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Pima County, AZ"	"04019"	137	828905	16.53
	"1999"	"1999"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	11	173364	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	10	155665	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	19	360312	Unreliable
	"1999"	"1999"	"California"	"06"	"Alameda County, CA"	"06001"	97	1427114	6.80
	"1999"	"1999"	"California"	"06"	"Butte County, CA"	"06007"	15	201282	Unreliable
	"1999"	"1999"	"California"	"06"	"Contra Costa County, CA"	"06013"	67	936983	7.15
	"1999"	"1999"	"California"	"06"	"El Dorado County, CA"	"06017"	14	154381	Unreliable
	"1999"	"1999"	"California"	"06"	"Fresno County, CA"	"06019"	52	789405	6.59
	"1999"	"1999"	"California"	"06"	"Humboldt County, CA"	"06023"	24	126676	18.95
	"1999"	"1999"	"California"	"06"	"Imperial County, CA"	"06025"	17	141056	Unreliable
	"1999"	"1999"	"California"	"06"	"Kern County, CA"	"06029"	74	655428	11.29
	"1999"	"1999"	"California"	"06"	"Kings County, CA"	"06031"	12	126402	Unreliable
	"1999"	"1999"	"California"	"06"	"Los Angeles County, CA"	"06037"	681	9437290	7.22
	"1999"	"1999"	"California"	"06"	"Madera County, CA"	"06039"	10	121883	Unreliable
	"1999"	"1999"	"California"	"06"	"Marin County, CA"	"06041"	28	246269	11.37
	"1999"	"1999"	"California"	"06"	"Mendocino County, CA"	"06045"	14	85665	Unreliable
	"1999"	"1999"	"California"	"06"	"Merced County, CA"	"06047"	14	206734	Unreliable
	"1999"	"1999"	"California"	"06"	"Monterey County, CA"	"06053"	34	396267	8.58
	"1999"	"1999"	"California"	"06"	"Nevada County, CA"	"06057"	10	90899	Unreliable
	"1999"	"1999"	"California"	"06"	"Orange County, CA"	"06059"	215	2815933	7.64
	"1999"	"1999"	"California"	"06"	"Placer County, CA"	"06061"	13	240928	Unreliable
	"1999"	"1999"	"California"	"06"	"Riverside County, CA"	"06065"	131	1507912	8.69
	"1999"	"1999"	"California"	"06"	"Sacramento County, CA"	"06067"	93	1206659	7.71
	"1999"	"1999"	"California"	"06"	"San Bernardino County, CA"	"06071"	58	1681601	3.45
	"1999"	"1999"	"California"	"06"	"San Diego County, CA"	"06073"	253	2789593	9.07
	"1999"	"1999"	"California"	"06"	"San Francisco County, CA"	"06075"	172	774716	22.20
	"1999"	"1999"	"California"	"06"	"San Joaquin County, CA"	"06077"	59	552424	10.68
	"1999"	"1999"	"California"	"06"	"San Luis Obispo County, CA"	"06079"	25	243480	10.27
	"1999"	"1999"	"California"	"06"	"San Mateo County, CA"	"06081"	53	704538	7.52
	"1999"	"1999"	"California"	"06"	"Santa Barbara County, CA"	"06083"	39	396906	9.83
	"1999"	"1999"	"California"	"06"	"Santa Clara County, CA"	"06085"	73	1671498	4.37
	"1999"	"1999"	"California"	"06"	"Santa Cruz County, CA"	"06087"	15	253667	Unreliable
	"1999"	"1999"	"California"	"06"	"Shasta County, CA"	"06089"	27	161987	16.67
	"1999"	"1999"	"California"	"06"	"Solano County, CA"	"06095"	18	387657	Unreliable
	"1999"	"1999"	"California"	"06"	"Sonoma County, CA"	"06097"	45	453421	9.92
	"1999"	"1999"	"California"	"06"	"Stanislaus County, CA"	"06099"	50	438609	11.40
