State,County,Year,Unemployment_rate
AL,Alabama,2000,4.6
AL,"Autauga County, AL",2000,4.1
AL,"Baldwin County, AL",2000,3.7
AL,"Barbour County, AL",2000,5.6
AL,"Bibb County, AL",2000,5.4
AL,"Blount County, AL",2000,3.5
AL,"Bullock County, AL",2000,8.5
AL,"Butler County, AL",2000,7.9
AL,"Calhoun County, AL",2000,5.1
AL,"Chambers County, AL",2000,4.4
AL,"Cherokee County, AL",2000,4.5
AL,"Chilton County, AL",2000,4.3
AL,"Choctaw County, AL",2000,6.6
AL,"Clarke County, AL",2000,7.4
AL,"Clay County, AL",2000,6.2
AL,"Cleburne County, AL",2000,4.1
AL,"Coffee County, AL",2000,5.9
AL,"Colbert County, AL",2000,5.6
AL,"Conecuh County, AL",2000,6.6
AL,"Coosa County, AL",2000,5.5
AL,"Covington County, AL",2000,7.0
AL,"Crenshaw County, AL",2000,5.8
AL,"Cullman County, AL",2000,4.2
AL,"Dale County, AL",2000,5.3
AL,"Dallas County, AL",2000,8.1
AL,"DeKalb County, AL",2000,4.1
AL,"Elmore County, AL",2000,4.0
AL,"Escambia County, AL",2000,5.3
AL,"Etowah County, AL",2000,5.9
AL,"Fayette County, AL",2000,5.9
AL,"Franklin County, AL",2000,6.6
AL,"Geneva County, AL",2000,5.1
AL,"Greene County, AL",2000,6.9
AL,"Hale County, AL",2000,6.1
AL,"Henry County, AL",2000,5.0
AL,"Houston County, AL",2000,4.4
AL,"Jackson County, AL",2000,5.2
AL,"Jefferson County, AL",2000,4.0
AL,"Lamar County, AL",2000,7.0
AL,"Lauderdale County, AL",2000,5.0
AL,"Lawrence County, AL",2000,5.0
AL,"Lee County, AL",2000,4.0
AL,"Limestone County, AL",2000,3.8
AL,"Lowndes County, AL",2000,7.0
AL,"Macon County, AL",2000,5.8
AL,"Madison County, AL",2000,3.6
AL,"Marengo County, AL",2000,5.3
AL,"Marion County, AL",2000,6.7
AL,"Marshall County, AL",2000,4.8
AL,"Mobile County, AL",2000,5.0
AL,"Monroe County, AL",2000,6.5
AL,"Montgomery County, AL",2000,4.2
AL,"Morgan County, AL",2000,4.3
AL,"Perry County, AL",2000,9.3
AL,"Pickens County, AL",2000,7.6
AL,"Pike County, AL",2000,5.6
AL,"Randolph County, AL",2000,4.9
AL,"Russell County, AL",2000,4.7
AL,"St. Clair County, AL",2000,3.8
AL,"Shelby County, AL",2000,2.8
AL,"Sumter County, AL",2000,9.2
AL,"Talladega County, AL",2000,5.2
AL,"Tallapoosa County, AL",2000,4.9
AL,"Tuscaloosa County, AL",2000,4.0
AL,"Walker County, AL",2000,5.9
AL,"Washington County, AL",2000,6.9
AL,"Wilcox County, AL",2000,8.8
AL,"Winston County, AL",2000,7.9
AK,Alaska,2000,6.3
AK,"Aleutians East Borough, AK",2000,8.7
AK,"Aleutians West Census Area, AK",2000,5.1
AK,"Anchorage Borough/municipality, AK",2000,5.0
AK,"Bethel Census Area, AK",2000,8.9
